Wavelength,ScaleFactor,Intensity,HalogenIntensity
496.54,17.5752548932,94.5147856839,5.3777192
497.09,17.5989708205,95.1019028058,5.4038332
497.63,17.6064021166,95.5934743556,5.4294724
498.18,17.6476346345,96.278195504,5.4555864
498.72,17.6301935108,96.6350680041,5.4812256
499.27,17.7023594987,97.4929054809,5.5073396
499.82,17.6737369258,97.7968032175,5.5334536
500.36,17.7413180206,98.645815794,5.5602304
500.91,17.7072835525,98.9497595713,5.5880824
501.45,17.7508516017,99.6786291079,5.615428
502.0,17.7833132288,100.356215878,5.64328
502.54,17.7988111026,100.930393888,5.6706256
503.09,17.8029124268,101.449497679,5.6984776
503.64,17.7839734025,101.8368933,5.7263296
504.18,17.8034200869,102.435096629,5.7536752
504.73,17.846237733,103.178508871,5.7815272
505.27,17.8709049482,103.809813665,5.8088728
505.82,17.8852886712,104.391507942,5.8367248
506.36,17.886661899,104.888644597,5.8640704
506.91,17.9203530949,105.585329816,5.8919224
507.46,17.9541368903,106.284439937,5.9197744
508.0,18.0006405405,107.051969371,5.94712
508.55,18.0350505858,107.758922269,5.974972
509.09,18.0536775405,108.363906446,6.0023176
509.64,18.1110581929,109.212752539,6.0301696
510.18,18.1303656809,109.824965694,6.0575152
510.73,18.1686565892,110.562946876,6.0853672
511.27,18.1966116855,111.230661167,6.1127128
511.82,18.1976278916,111.743713275,6.1405648
512.37,18.2314969105,112.459471832,6.1684168
512.91,18.2476447477,113.058071216,6.1957624
513.46,18.2896330676,113.82762373,6.2236144
514.0,18.2884464196,114.320347031,6.25096
514.55,18.3450215036,115.184941157,6.278812
515.09,18.3539092362,115.742644219,6.3061576
515.64,18.3438676405,116.190233736,6.3340096
516.18,18.3581970339,116.783012164,6.3613552
516.73,18.3922126429,117.511657442,6.3892072
517.28,18.394504429,118.038623876,6.4170592
517.82,18.4217147004,118.716986639,6.4444048
518.37,18.4417804206,119.359938731,6.4722568
518.91,18.4589493755,119.975831662,6.4996024
519.46,18.459661329,120.494597565,6.5274544
520.0,18.4719103324,121.079677847,6.5548
520.55,18.4935751227,121.736769269,6.582652
521.09,18.4713194971,122.095377545,6.6099976
521.64,18.4912433169,122.742092055,6.6378496
522.18,18.4972290938,123.287642569,6.6651952
522.73,18.4804278021,123.690375556,6.6930472
523.28,18.5091177829,124.3979149,6.7208992
523.82,18.5102897935,124.911966845,6.7482448
524.37,18.5409878944,125.63552874,6.7760968
524.91,18.5748061237,126.372623554,6.8034424
525.46,18.5781228685,126.92390735,6.8319016
526.0,18.6400793687,127.870198866,6.85996
526.55,18.6124068763,128.212272039,6.888538
527.09,18.7013840765,129.349925778,6.9165964
527.64,18.7066888793,129.921216713,6.9451744
528.18,18.7734730204,130.911797836,6.9732328
528.73,18.8227042202,131.793013694,7.0018108
529.27,18.8858364113,132.764959704,7.0298692
529.82,18.9043399833,133.435285623,7.0584472
530.36,18.9863007663,134.546526704,7.0865056
530.91,19.032726848,135.41944266,7.1150836
531.45,19.0815747643,136.302398125,7.143142
532.0,19.146266488,137.311662298,7.17172
532.54,19.2286844705,138.442267111,7.1997784
533.09,19.2766767061,139.338689439,7.2283564
533.63,19.3435572139,140.364874852,7.2564148
534.18,19.3729553712,141.131840394,7.2849928
534.72,19.4391987234,142.159855551,7.3130512
535.27,19.4847342212,143.049693712,7.3416292
535.81,19.5605701397,144.155291208,7.3696876
536.36,19.6159982887,145.124365349,7.3982656
536.9,19.6505181732,145.931114722,7.426324
537.45,19.6891793689,146.780902656,7.454902
537.99,19.7114235866,147.499802126,7.4829604
538.54,19.7721293116,148.519108574,7.5115384
539.08,19.773915112,149.087347102,7.5395968
539.63,19.8179836958,149.985964793,7.5681748
540.17,19.8158856304,150.526088313,7.5962332
540.72,19.8306026336,151.204601064,7.6248112
541.26,19.8653587331,152.026999942,7.6528696
541.81,19.8694219722,152.625923722,7.6814476
542.35,19.8872789926,153.321096717,7.709506
542.9,19.8655376553,153.721199082,7.738084
543.44,19.8867223449,154.4431176,7.7661424
543.99,19.9173595647,155.250248913,7.7947204
544.53,19.9222452501,155.847317791,7.8227788
545.08,19.8925152119,156.183234578,7.8513568
545.62,19.9112790676,156.889234937,7.8794152
546.16,19.8859360401,157.247514249,7.9074736
546.71,19.9099456647,158.006356148,7.9360516
547.25,19.8962892322,158.456236037,7.96411
547.8,19.8732145308,158.840403302,7.992688
548.34,19.8560885657,159.260650881,8.0207464
548.89,19.8432626838,159.724858496,8.0493244
549.43,19.8025849977,159.953059456,8.0773828
549.98,19.8261693865,160.710151861,8.1059608
550.52,19.7861096693,160.948003863,8.1343936
551.06,19.7797811863,161.459204882,8.1628408
551.61,19.7584744883,161.857763738,8.1918148
552.15,19.7502742401,162.352428825,8.220262
552.7,19.7421835756,162.85793147,8.249236
553.24,19.7540639806,163.517883544,8.2776832
553.78,19.7472886002,164.02355416,8.3061304
554.33,19.7041887928,164.236470705,8.3351044
554.87,19.7534423996,165.208934787,8.3635516
555.42,19.7314923381,165.597054574,8.3925256
555.96,19.7856332563,166.614279482,8.4209728
556.5,19.8060954865,167.350019326,8.44942
557.05,19.8514488325,168.308404672,8.478394
557.59,19.8887489409,169.190428907,8.5068412
558.14,19.9478088141,170.270809682,8.5358152
558.68,19.9941606158,171.235237982,8.5642624
559.22,20.0714113847,172.467809291,8.5927096
559.77,20.154755026,173.76792087,8.6216836
560.31,20.229715289,174.989683297,8.6501308
560.85,20.3438266112,176.555486063,8.678578
561.4,20.4614539638,178.169174385,8.707552
561.94,20.5827957741,179.811287416,8.7359992
562.49,20.6809077712,181.267602366,8.7649732
563.03,20.7986915274,182.89163837,8.7934204
563.57,20.8969693206,184.350296588,8.8218676
564.12,21.0180862078,186.027751761,8.8508416
564.66,21.1261135828,187.584863723,8.8792888
565.2,21.2001787205,188.845595195,8.907736
565.75,21.2833062415,190.202735721,8.93671
566.29,21.3635627752,191.527698631,8.9651572
566.83,21.4398735262,192.82174088,8.9936044
567.38,21.5410768448,194.356054652,9.0225784
567.92,21.6157266875,195.644495611,9.0510256
568.46,21.6903353899,196.936810195,9.0794728
569.0,21.7628827212,198.214594795,9.10792
569.55,21.8419847794,199.567899679,9.136894
570.09,21.9215280711,200.918284397,9.1653412
570.63,21.9482304352,201.787386375,9.1937884
571.18,22.0428116384,203.295614369,9.2227624
571.72,22.1087915178,204.533064334,9.2512096
572.26,22.1542065539,205.583433497,9.2796568
572.81,22.2125386311,206.768321247,9.3086308
573.35,22.2921557635,208.143597152,9.337078
573.89,22.354827979,209.364704779,9.3655252
574.43,22.4127108079,210.544386738,9.3939724
574.98,22.4781997696,211.810871597,9.4229464
575.52,22.5018623379,212.657108294,9.4506448
576.06,22.5745585627,213.968763499,9.4783144
576.6,22.6239240198,215.062659749,9.505984
577.15,22.6033657625,215.504241338,9.534166
577.69,22.6299579445,216.3839375,9.5618356
578.23,22.666863738,217.364007684,9.5895052
578.77,22.683953237,218.155543436,9.6171748
579.31,22.6935270969,218.875537736,9.6448444
579.86,22.679668953,219.381036525,9.6730264
580.4,22.6840941577,220.051501459,9.700696
580.94,22.6624368264,220.468470834,9.7283656
581.48,22.6367140068,220.844578663,9.7560352
582.02,22.631928267,221.424105219,9.7837048
582.57,22.6210556648,221.955237479,9.8118868
583.11,22.5943887381,222.318762312,9.8395564
583.65,22.5881923862,222.882799206,9.867226
584.19,22.6111142945,223.734615344,9.8948956
584.73,22.6097890283,224.347105791,9.9225652
585.28,22.6246716567,225.132388139,9.9507472
585.82,22.6098416069,225.610423336,9.9784168
586.36,22.6363377907,226.501151713,10.0060864
586.9,22.6160199901,226.923626272,10.033756
587.44,22.6500955644,227.892251354,10.0614256
587.98,22.6861231654,228.882456335,10.0890952
588.52,22.683847674,229.487151677,10.1167648
589.07,22.7246481061,230.540346085,10.1449468
589.61,22.7568127772,231.49632687,10.1726164
590.15,22.8320166352,232.893099636,10.200286
590.69,22.8673974045,233.88672534,10.2279556
591.23,22.857223664,234.41511901,10.2556252
591.77,22.8090456912,234.552140949,10.2832948
592.31,22.8231796202,235.328992559,10.3109644
592.85,22.8334039751,236.066206673,10.338634
593.39,22.8512378405,236.88286909,10.3663036
593.93,22.8748141783,237.760205524,10.3939732
594.48,22.8888220261,238.550855501,10.4221552
595.02,22.8742261396,239.031655594,10.4498248
595.56,22.9161372116,240.103699304,10.4774944
596.1,22.9136683767,240.711844139,10.505164
596.64,22.9309965569,241.528371016,10.5328336
597.18,22.9254718299,242.104518621,10.5605032
