Wavelength,ScaleFactor,Intensity,HalogenIntensity
514.55,18.2588387809,114.643816043,6.278812
515.09,18.2676966193,115.19897387,6.3061576
515.64,18.2576993458,115.64444293,6.3340096
516.18,18.2718160641,116.233512133,6.3613552
516.73,18.3060989821,116.961459421,6.3892072
517.28,18.3080909251,117.484103305,6.4170592
517.82,18.3354329958,118.160952408,6.4444048
518.37,18.3539586571,118.791533726,6.4722568
518.91,18.3712046844,119.405526058,6.4996024
519.46,18.3718981002,119.92172709,6.5274544
520.0,18.3841828595,120.504641807,6.5548
520.55,18.4059458064,121.159935974,6.582652
521.09,18.3835688623,121.515346059,6.6099976
521.64,18.4035631036,122.160083986,6.6378496
522.18,18.4096095201,122.703641007,6.6651952
522.73,18.3927729497,123.103697491,6.6930472
523.28,18.4215679175,123.80950108,6.7208992
523.82,18.422545729,124.319848418,6.7482448
524.37,18.4529036221,125.038661185,6.7760968
524.91,18.48657302,125.772334715,6.8034424
525.46,18.4894889571,126.318369189,6.8319016
526.0,18.5510853606,127.25970353,6.85996
526.55,18.5231493785,127.597418373,6.888538
527.09,18.6114861856,128.72813835,6.9165964
527.64,18.6163166868,129.293566075,6.9451744
528.18,18.6825620133,130.277854219,6.9732328
528.73,18.7312023431,131.152334863,7.0018108
529.27,18.7935066367,132.115893465,7.0298692
529.82,18.8113850516,132.779168145,7.0584472
530.36,18.892522952,133.881969698,7.0865056
530.91,18.9384719872,134.748811446,7.1150836
531.45,18.986912239,135.626210264,7.143142
532.0,19.0513391644,136.630870112,7.17172
532.54,19.1332245716,137.754976993,7.1997784
533.09,19.1810495674,138.647462399,7.2283564
533.63,19.2475012517,139.667852946,7.2564148
534.18,19.2765912418,140.429828405,7.2849928
534.72,19.342226799,141.450694903,7.3130512
535.27,19.3872332716,142.333877894,7.3416292
535.81,19.4622479998,143.430687752,7.3696876
536.36,19.5169066755,144.391259276,7.3982656
536.9,19.5508494654,145.190942606,7.426324
537.45,19.5888109137,146.032665658,7.454902
537.99,19.6105271793,146.744798306,7.4829604
538.54,19.6704701312,147.755491737,7.5115384
539.08,19.6704539508,148.307291662,7.5395968
539.63,19.7141116687,149.199843135,7.5681748
540.17,19.7121481024,149.738073859,7.5962332
540.72,19.7266627435,150.412079025,7.6248112
541.26,19.7611044211,151.229155287,7.6528696
541.81,19.765330382,151.826349626,7.6814476
